Catch	in	Numbers	(billions)													
	0.01385	0.00633	0.03577	0.019776	0.501393	0.018672	0.003502	0.007058	0.028	0.012	0.0095	0.0045	0.007834	0.0065	0.007	0.00045
	0.01549	0.00279	0.00911	0.062923	0.025059	0.550367	0.009452	0.003679	0.005964	0.014583	0.008872	0.002818	0.003356	0.002682	0.00156	0.00054
	0.00712	0.00193	0.0252	0.00289	0.003623	0.00565	0.32429	0.003469	0.0008	0.000679	0.003297	0.001375	0.000679	0.000321	0.00026	0
	0.00102	0.0004	0.01554	0.018633	0.002658	0.011875	0.010854	0.22628	0.001289	0.001519	0.002036	0.002415	0.000646	0.000179	0.00059	0.00048
	0.0001	0.00337	0.00333	0.008438	0.00278	0.00141	0.014698	0.008867	0.218851	0.002499	0.000461	0.000087	0.00069	0.000103	0.00026	0.00054
	0.00163	0.00015	0.00134	0.012586	0.0331	0.00498	0.001193	0.011981	0.005748	0.225677	0.002483	0.000639	0.000247	0.001236	0	0
	0.00657	0.00013	0.00724	0.028408	0.106866	0.087269	0.008625	0.003648	0.029603	0.018631	0.41011	0	0	0	0	0
	0.00043	0.00002	0.0081	0.0325	0.11009	0.36392	0.1648	0.01558	0.00814	0.03733	0.03566	0.64541	0.00283	0.00046	0.0001	0.00207
	0	0	0.00113	0.05759	0.34646	0.62281	0.63784	0.23109	0.01551	0.01585	0.06975	0.08374	0.91188	0.00407	0.00025	0.00045
	0	0	0.03014	0.03436	0.71362	1.571	0.94058	0.40628	0.10341	0.00568	0.00737	0.06609	0.01757	0.83655	0	0
	0	0	0.02182	0.13045	0.27095	1.79578	1.99362	0.76121	0.32649	0.06087	0.02002	0.0324	0.09052	0.01912	0.37033	0.0003
	0	0	0.082891	0.070323	0.242365	0.36831	1.760319	1.26375	0.381482	0.129971	0.042502	0.025343	0.003478	0.112604	0.005633	0.108514
	0	0	0.005029	0.137626	0.03582	0.134813	0.429433	1.604959	1.164263	0.291394	0.106005	0.014524	0.04004	0.007202	0.088598	0.063983
	0	0	0.014395	0.084016	0.560379	0.034933	0.110719	0.40446	1.299253	1.045001	0.21698	0.071589	0.01626	0.022701	0.023321	0.071811
	0	0	0.002076	0.102293	0.160678	0.426822	0.038749	0.095991	0.29646	0.839136	0.507106	0.073673	0.023722	0.003505	0.003356	0.022164
	0	0	0.062031	0.19836	0.643161	0.255516	0.326495	0.029843	0.09353	0.264675	0.663059	0.339326	0.052922	0.012437	0.007	0.010087
	0	0.003461	0.004524	0.075243	0.323958	0.730468	0.175878	0.167776	0.022866	0.074494	0.217108	0.567253	0.219097	0.038555	0.008111	0.006192
	0.000125	0.001846	0.0438	0.024299	0.0923	0.42951	0.714433	0.111022	0.13794	0.026656	0.052467	0.169196	0.401564	0.210547	0.028028	0.011883
	0	0.000442	0.020411	0.447788	0.094206	0.170547	0.6436	0.930309	0.121856	0.123291	0.037967	0.065289	0.139331	0.344822	0.126879	0.015697
	0	0.001968	0.045438	0.075824	0.729898	0.082107	0.17137	0.726041	0.772217	0.088701	0.077115	0.030339	0.057882	0.133665	0.14224	0.049128
	0	0.004475	0.00845	0.224636	0.366983	1.804495	0.152916	0.242923	0.728836	0.511664	0.047215	0.025384	0.015316	0.024488	0.064755	0.058465
	0	0.039898	0.1239492	0.0366295	0.5502739	0.6706812	2.2959115	0.1995921	0.2561319	0.5865827	0.3696199	0.029633	0.0360255	0.023775	0.0251955	0.0631759
	0	0.003468	0.113424	0.192641	0.149075	1.193781	0.914748	1.929631	0.142931	0.262037	0.423972	0.238174	0.045519	0.009337	0.010153	0.070538
	0	0.0759814	0.0616725	0.1019481	0.2092949	0.1897836	1.0648655	0.711951	1.4219389	0.1750098	0.1801642	0.3407809	0.1790392	0.0125579	0.011602	0.0497734
	0	0.1269672	0.2498085	0.0617055	0.1046344	0.23433	0.2101647	0.7553811	0.5432121	0.6427869	0.0905151	0.1172297	0.1365093	0.0450819	0.0066277	0.0116382
	0	0.0026801	0.0130833	0.2116304	0.0499987	0.1196272	0.2819075	0.2633295	0.7478386	0.3146943	0.3579021	0.0531086	0.0449819	0.0642733	0.0124199	0.0036039
	0	0.0000012	0.0207154	0.0603642	0.2769006	0.0712865	0.1125582	0.2836579	0.2422429	0.5919121	0.1695247	0.1453178	0.0249362	0.0106139	0.0097252	0.0022991
	0	0.000265	0.0014411	0.028301	0.0578382	0.257529	0.0504237	0.071721	0.1948138	0.147083	0.3813172	0.0830496	0.0573153	0.0127459	0.0018091	0.0075009
	0	0.0006473	0.0032436	0.0161388	0.0557486	0.0523686	0.1523471	0.0340458	0.0657277	0.1560747	0.1033927	0.2011413	0.0243101	0.0493727	0.0033693	0.0063973
	0	0.0001973	0.0023512	0.0454829	0.0434164	0.1121469	0.0859367	0.1644542	0.0522667	0.0735758	0.1746552	0.0964764	0.1790513	0.0385457	0.03288	0.008379
