Age	structured	tuning	indices												
-1	24	1404	367	1099	4410	16378	10160	2059	804	183	0	0	35	0	492
-1	0	215	2191	322	965	3067	11763	6077	853	258	5	14	0	158	128
-1	0	157	1353	2783	92	384	1302	7194	5344	1689	271	0	114	0	75
-1	0	1540	8312	1430	1463	179	204	3215	5433	1220	94	178	0	0	6
-1	0	677	6343	9619	1418	779	375	847	1941	2500	1423	61	78	28	0
-1	32073	8115	6561	9985	9961	1499	732	146	228	1865	2359	1769	0	287	0
-1	0	13735	1543	5227	12571	10710	1075	580	76	313	362	1294	1120	10	88
-1	0	1293	19679	1353	1765	6205	5371	651	388	139	262	526	1003	364	115
-1	0	19	306	14560	1396	2011	6521	6978	679	713	173	407	921	618	243
-1	0	411	2889	5877	20292	1260	1992	6780	5582	647	488	372	403	1048	1010
-1	0	1240	631	10809	8271	14827	1513	2257	4848	2734	449	149	151	270	491
-1	0	144	1669	2159	12300	8994	9527	2147	1435	2466	1411	188	193	123	231
-1	234	125	542	2334	1781	8351	5988	5601	869	882	983	578	90	72	57
-1	0	1205	977	1528	3607	2564	9420	4542	4298	825	892	712	261	37	39
-1	0	378	2895	412	670	1646	2560	4226	2026	2097	298	607	315	155	47
-1	0	205	776	3955	434	1211	2036	3070	4652	2767	1873	692	805	186	83
-1	17	517	1231	798	2790	749	1065	2681	2285	2842	1119	778	350	76	198
-1	0	385	468	1299	1176	3548	1399	1160	3178	2523	4350	712	788	262	194
-1	0	75	3549	1508	2215	1779	2683	929	1143	1770	1851	2877	928	439	136
-1	15	152	711	4251	1544	1635	1342	1688	430	832	1016	1784	1670	491	149
6	As	part	of	the	joint	IMR-PINRO	ecosystem	survey	in	August-September					
	2000	2015													
	-1	-1	-1	-1											
	1	2													
-1	14.7	11.5													
-1	0.5	10.5													
-1	1.3	0													
-1	99.9	4.3													
-1	14.3	36.5													
-1	46.4	16.1													
-1	1.6	5.5													
-1	3.9	2.6													
-1	0.03	1.62													
-1	1.5	0.4													
-1	1	0.3													
-1	0.1	1.5													
-1	2	1.1													
-1	7.7	5													
-1	2.6	0.4													
-1	1.1	9													
7	Indices	for	0	group											
	1980	2015													
	-1	-1	-1	-1											
	0	0													
-1	4														
-1	3														
-1	202														
-1	40557														
-1	6313														
-1	7237														
-1	7														
-1	2														
-1	8686														
-1	4196														
-1	9508														
-1	81175														
-1	37183														
-1	61508														
-1	14884														
-1	1308														
-1	57169														
-1	45808														
-1	79492														
-1	15931														
-1	49614														
-1	844														
-1	23354														
-1	28579														
-1	136053														
-1	26531														
-1	68531														
-1	22319														
-1	15915														
-1	18916														
-1	20367														
-1	13674														
-1	26480														
-1	70972														
-1	16674														
-1	11207														
